region,sigungu,category,item_name,application_status,valid_application_count,application_numbers,trademark_names,lgst_values
강원특별자치도,강릉시,유형유산,강릉 굴산사지 승탑,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 대창리 당간지주,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 동은 고택,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 만성 고택,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 모학당 고택,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 반송댁,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 방동리 무궁화,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 방해정,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 보현사 낭원대사탑,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 보현사 낭원대사탑비,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 보현사 대웅보전,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 보현사 목조문수보살좌상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 보현사 부도군,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 보현사 석조아미타삼존불상과 복장유물,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 보현사 소조보살좌상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 보현사 소조석가삼존·십육나한상·권속 및 복장유물 일괄,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 산계리 굴참나무 군,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 서지 조진사댁,유효출원,1,4020230196710,서지 씨종지떡,포기
강원특별자치도,강릉시,유형유산,강릉 선교장,유효출원,6,4020130000197|4020140085824|4020180049615|4020230174217|4020230174218|4120140052387,강릉선교장|강릉선교장 오색다식|강릉선교장 전통가구박물관 한국 전통가구박물관|삼백년 전통가옥 강릉선교장 한과,등록
강원특별자치도,강릉시,유형유산,강릉 선교장 소장 태극기,유효출원,6,4020130000197|4020140085824|4020180049615|4020230174217|4020230174218|4120140052387,강릉선교장|강릉선교장 오색다식|강릉선교장 전통가구박물관 한국 전통가구박물관|삼백년 전통가옥 강릉선교장 한과,등록
강원특별자치도,강릉시,유형유산,강릉 수리골 고택,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 수문리 당간지주,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 시호 고택,유효출원,5,4020200116864|4020210116100|4020210116104|4020210116106|4020230194062,시시호|시호일,등록
강원특별자치도,강릉시,유형유산,강릉 신복사지 삼층석탑,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 신복사지 석조보살좌상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 오금집,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 오죽헌,유효출원,7,4020010003943|4020010003944|4020010003945|4020010003946|4020040010942|4020170151272|4020210039840,강릉 오죽헌한과|오죽헌 사임당의 뜰|오죽헌소갈비찜|오죽헌오죽,거절|등록
강원특별자치도,강릉시,유형유산,강릉 오죽헌 율곡매,유효출원,7,4020010003943|4020010003944|4020010003945|4020010003946|4020040010942|4020170151272|4020210039840,강릉 오죽헌한과|오죽헌 사임당의 뜰|오죽헌소갈비찜|오죽헌오죽,거절|등록
강원특별자치도,강릉시,유형유산,강릉 오죽헌ㆍ박물관 소장 미타계첩,유효출원,11,4020010003943|4020010003944|4020010003945|4020010003946|4020040010942|4020170151272|4020180049615|4020190053725|4020210039840|4120010014971|4120150024196,강릉 오죽헌한과|강릉선교장 전통가구박물관 한국 전통가구박물관|권오복 조각박물관|오죽헌 사임당의 뜰|오죽헌소갈비찜|오죽헌오죽|참소리 축음기 에디슨 박물관|코쟁이박물관,거절|등록
강원특별자치도,강릉시,유형유산,강릉 오죽헌ㆍ박물관 소장 임영족회첩,유효출원,11,4020010003943|4020010003944|4020010003945|4020010003946|4020040010942|4020170151272|4020180049615|4020190053725|4020210039840|4120010014971|4120150024196,강릉 오죽헌한과|강릉선교장 전통가구박물관 한국 전통가구박물관|권오복 조각박물관|오죽헌 사임당의 뜰|오죽헌소갈비찜|오죽헌오죽|참소리 축음기 에디슨 박물관|코쟁이박물관,거절|등록
강원특별자치도,강릉시,유형유산,강릉 용연계곡 일원,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 용연사 석조 관음보살좌상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 운파고택,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 임당동성당,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 임영관 삼문,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 장덕리 은행나무,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 정동진 해안단구,유효출원,4,4020060000376|4020170029108|4020180040363|4120000005073,강릉 정동진|정동진부채빵|정동진심층수전두부,거절|포기
강원특별자치도,강릉시,유형유산,강릉 주문진성당,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 청학사 소장 석불좌상ㆍ광배 및 중대석,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 청학사 소장 청동보살입상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 청학사 소장 청동불입상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 초당동 고택,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 추산 고택,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 칠사당,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 한송사지 석조보살좌상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 해운정,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 해운정역방록,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 현내리 고욤나무,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 현덕사 소장 육경합부,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 회계고택,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉고려성,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉관음리오층석탑,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉관음사소장동종,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉관음사소장목조관음보살좌상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉굴산사지석불좌상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉귀부,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉김윤기가옥,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉대공산성,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉대도호부 관아,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉박치규가옥,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉보광리분청자요지,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉보광리석조여래좌상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉비석군,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉산계리금옥계방역사적비및종선비,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉산계리석탑,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉석불입상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉송라사석조약사여래좌상,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉옥천동석탑재,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉용연사 석탑,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉조수환가옥,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉조철현가옥,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉청학사소장석조관음보살상및복장유물,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉최선평가옥,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉최씨동원군종택,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉함대식가옥,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉향교,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉향교 대성전,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉향교 동무?서무?전랑,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉향교 명륜당,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉호해정,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉회암영당주희영정,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉효자리비,미출원,0,,,
강원특별자치도,강릉시,유형유산,경락첩,미출원,0,,,
강원특별자치도,강릉시,유형유산,경양사,미출원,0,,,
강원특별자치도,강릉시,유형유산,계련당,미출원,0,,,
강원특별자치도,강릉시,유형유산,금강산성,미출원,0,,,
강원특별자치도,강릉시,유형유산,금란정,미출원,0,,,
강원특별자치도,강릉시,유형유산,난설헌시집목판초간본,미출원,0,,,
강원특별자치도,강릉시,유형유산,대관령 옛길,유효출원,26,4019930031173|4019930031174|4020010003935|4020010003936|4020010003937|4020010003938|4020010035887|4020070045013|4020070045736|4020070045758|4020070045759|4020070045763|4020070045764|4020070045770|4020070045772|4020070045775|4020070045778|4020160114972|4020160114981|4020210187985|4020220012866|4020250183803|4020250183804|4020250184225|4020250243878|4120080003497,강릉대관령|눈 내리는 대관령|대관령 바람과 햇살과눈 그리고 황태 명태선생 선생|대관령 산송이|대관령감자 전두부 전두부|대관령대기리|대관령미인|대관령배나드리|대관령보광리|대관령산황태채|대관령산황태포|대관령삼계라떼|대관령성산|대관령솔찬도시락|대관령아흔아홉구비|대관령안반덕|대관령어울림|대관령어흘리|대관령오죽|대관령왕산|하늬바람이 키운 대관령 커피,거절|등록|소멸|출원|포기
강원특별자치도,강릉시,유형유산,등명사지오층석탑,미출원,0,,,
강원특별자치도,강릉시,유형유산,매창 매화도 및 옥산 국화도첩,미출원,0,,,
강원특별자치도,강릉시,유형유산,명안공주 관련 유물,미출원,0,,,
강원특별자치도,강릉시,유형유산,명주 청학동 소금강,유효출원,17,4019880011906|4019880011907|4020100006297|4020100006298|4020100006300|4020190055433|4020190055434|4020200232524|4020200232530|4020200232533|4020200232534|4020200232545|4020230134110|4020230134111|4120100003020|4120100003021|4120110028492,ㅁㅈㄱㄱ 미 명주곳간 농업회사법인|명주 인형극제|명주산업 명주산업|산 소금강마을|소금강 댕댕이한약방|소금강마을,등록|소멸|포기
강원특별자치도,강릉시,유형유산,명주군왕릉,미출원,0,,,
강원특별자치도,강릉시,유형유산,문무잡과 방목,미출원,0,,,
강원특별자치도,강릉시,유형유산,박시형 교지 일괄,미출원,0,,,
강원특별자치도,강릉시,유형유산,박중신문과급제교지,미출원,0,,,
강원특별자치도,강릉시,유형유산,방내리삼층석탑,미출원,0,,,
강원특별자치도,강릉시,유형유산,보진당,미출원,0,,,
강원특별자치도,강릉시,유형유산,상임경당,미출원,0,,,
강원특별자치도,강릉시,유형유산,송담서원,미출원,0,,,
강원특별자치도,강릉시,유형유산,신사임당초서병풍,미출원,0,,,
강원특별자치도,강릉시,유형유산,신사임당초충도병,미출원,0,,,
강원특별자치도,강릉시,유형유산,연곡고분,미출원,0,,,
강원특별자치도,강릉시,유형유산,영진리고분군,미출원,0,,,
강원특별자치도,강릉시,유형유산,오봉서원,미출원,0,,,
강원특별자치도,강릉시,유형유산,오성정,미출원,0,,,
강원특별자치도,강릉시,유형유산,옥산서병,미출원,0,,,
강원특별자치도,강릉시,유형유산,용지,미출원,0,,,
강원특별자치도,강릉시,유형유산,"율곡유품(벼루,토지양여서)",유효출원,1,4020030025590,율곡벼루지갑,등록
강원특별자치도,강릉시,유형유산,이씨분재기,미출원,0,,,
강원특별자치도,강릉시,유형유산,이이 수고본 격몽요결,유효출원,2,4020030025589|4020150083148,격몽요결차|율곡친필격몽요결,등록
강원특별자치도,강릉시,유형유산,임경당,미출원,0,,,
강원특별자치도,강릉시,유형유산,주문1리 서낭당,미출원,0,,,
강원특별자치도,강릉시,유형유산,초충도 화첩,유효출원,2,4020030025587|4020030025588,사임당초충도,등록
강원특별자치도,강릉시,유형유산,하시동고분군,미출원,0,,,
강원특별자치도,강릉시,유형유산,향현사,미출원,0,,,
강원특별자치도,강릉시,유형유산,화부산사,미출원,0,,,
강원특별자치도,강릉시,유형유산,황기로 초서 - 이군옥시,미출원,0,,,
강원특별자치도,강릉시,유형유산,황산사,미출원,0,,,
강원특별자치도,강릉시,유형유산,흥선대원군 이하응 간찰 및 제문,미출원,0,,,
강원특별자치도,강릉시,무형유산,강릉 갈골과줄,유효출원,3,4020140020054|4120140011506|4120140011507,갈골과줄,소멸|포기
강원특별자치도,강릉시,무형유산,강릉농악,미출원,0,,,
